Idx,Phase_Label,Advantage,Proprio_0 (x),Proprio_1 (y),Proprio_2 (z),Proprio_Gripper,Tgt_Pose_0_x,Tgt_Pose_0_y,Tgt_Pose_0_z,Tgt_Grip_0
177,0,-10.5057,-0.061,-0.160,0.010,-0.083,0.509,-0.026,0.516,0.00
178,0,-10.5392,-0.062,-0.146,0.010,-0.079,0.513,-0.027,0.516,0.00
179,0,-10.5636,-0.063,-0.133,0.010,-0.074,0.517,-0.027,0.517,0.00
180,0,-10.5787,-0.064,-0.119,0.010,-0.070,0.529,-0.029,0.518,0.00
181,0,-10.5845,-0.066,-0.079,0.010,-0.057,0.537,-0.031,0.519,0.00
182,0,-10.5628,-0.067,-0.052,0.009,-0.049,0.541,-0.031,0.520,0.00
183,0,-10.5229,-0.067,-0.039,0.009,-0.045,0.549,-0.033,0.521,0.00
184,0,-10.4738,-0.068,-0.013,0.008,-0.037,0.560,-0.034,0.522,0.00
185,0,-10.4071,-0.069,0.025,0.007,-0.028,0.563,-0.035,0.523,0.00
186,0,-10.3152,-0.069,0.038,0.007,-0.025,0.567,-0.036,0.523,0.00
187,0,-10.2144,-0.069,0.050,0.007,-0.022,0.574,-0.037,0.524,0.00
188,0,-10.1050,-0.070,0.074,0.006,-0.017,0.580,-0.038,0.525,0.00
189,0,-9.9795,-0.070,0.098,0.005,-0.013,0.583,-0.038,0.525,0.00
190,0,-9.8387,-0.070,0.109,0.005,-0.011,0.589,-0.039,0.526,0.00
191,0,-9.6896,-0.070,0.132,0.004,-0.008,0.594,-0.040,0.527,0.00
192,0,-9.5261,-0.070,0.153,0.003,-0.005,0.604,-0.042,0.528,0.00
193,0,-9.3489,-0.070,0.193,0.002,-0.002,0.609,-0.042,0.529,0.00
194,0,-9.1481,-0.070,0.211,0.001,-0.001,0.611,-0.043,0.529,0.00
195,0,-8.9359,-0.070,0.220,0.001,-0.000,0.615,-0.044,0.528,0.00
196,0,-8.7171,-0.070,0.238,-0.001,0.014,0.615,-0.044,0.527,0.00
197,0,-8.4898,-0.070,0.237,-0.001,0.016,0.615,-0.044,0.527,0.00
198,0,-8.2618,-0.070,0.237,-0.001,0.015,0.615,-0.044,0.527,0.00
199,0,-8.0324,-0.070,0.236,-0.001,0.014,0.615,-0.044,0.526,0.00
