episode_id,step,time_sec,task_phase,is_holding_object,success_flag,dist_ee_obj,dist_obj_goal,obj_height,raw_target_x,raw_target_y,raw_target_z,raw_grip_logit,smooth_target_x,smooth_target_y,smooth_target_z,smooth_grip_score,actual_ee_x,actual_ee_y,actual_ee_z,gripper_width,commanded_gripper,joint_vel_norm
0,28,0.280000,0,False,0,0.230271,0.283543,0.419928,0.5700255,0.08836287,0.40877992,-12.421109,0.56922877,0.089720026,0.40954626,-1.000000,0.54541826,0.14524291,0.39855102,,-1.000000,0.442003
0,29,0.290000,0,False,0,0.222816,0.283543,0.419928,0.5725186,0.09123863,0.40927118,-12.363000,0.5708737,0.09047933,0.40940872,-1.000000,0.54938066,0.13604856,0.40025374,,-1.000000,0.373310
0,30,0.300000,0,False,0,0.215549,0.283543,0.419928,0.5816284,0.08823441,0.409928,-12.627775,0.57625103,0.08935687,0.40966836,-1.000000,0.55393416,0.12654623,0.4016419,,-1.000000,0.351880
0,31,0.310000,0,False,0,0.209966,0.283543,0.419928,0.5740427,0.104886785,0.41399506,-12.332294,0.57514685,0.09712183,0.4118317,-1.000000,0.5577952,0.1188654,0.4026739,,-1.000000,0.249834
0,32,0.320000,0,False,0,0.206575,0.283543,0.419928,0.57284737,0.107660875,0.41484675,-12.423981,0.57399714,0.10239135,0.41333923,-1.000000,0.5606412,0.113876455,0.40364262,,-1.000000,0.187799
0,33,0.330000,0,False,0,0.205661,0.283543,0.419928,0.5819041,0.116808966,0.41740692,-12.458399,0.5779506,0.10960016,0.4153731,-1.000000,0.56338894,0.11161754,0.40488723,,-1.000000,0.252322
0,34,0.340000,0,False,0,0.206215,0.283543,0.419928,0.5799247,0.11424512,0.4172133,-12.423703,0.57893765,0.11192264,0.4162932,-1.000000,0.56573516,0.1111452,0.40607503,,-1.000000,0.245594
0,35,0.350000,0,False,0,0.207229,0.283543,0.419928,0.58110243,0.11124186,0.41586515,-12.416592,0.58002007,0.11158225,0.41607916,-1.000000,0.5677668,0.11130904,0.40708336,,-1.000000,0.220761
0,36,0.360000,0,False,0,0.208341,0.283543,0.419927,0.5817641,0.11390367,0.41624814,-12.372040,0.5808921,0.11274296,0.41616365,-1.000000,0.56959575,0.11165754,0.4079059,,-1.000000,0.206014
0,37,0.370000,0,False,0,0.209400,0.283543,0.419927,0.58146787,0.113682166,0.41578573,-12.489882,0.58118,0.11321256,0.41597468,-1.000000,0.5711798,0.11205004,0.40852922,,-1.000000,0.180335
