step,expert_state,mimicry_error_rad,ee_pos_x,ee_pos_y,ee_pos_z,target_pos_x,target_pos_y,target_pos_z
0,MOVE_TO_PRE_GRASP,0.182710,0.29976577,0.021748012,0.49707377,0.35,0.021771703,0.497083
1,MOVE_TO_PRE_GRASP,0.165952,0.30127665,0.021591326,0.49854448,0.35,0.021842754,0.49711075
2,MOVE_TO_PRE_GRASP,0.142051,0.305566,0.021513853,0.50098264,0.35,0.021961106,0.49715698
3,MOVE_TO_PRE_GRASP,0.113967,0.31216338,0.021542666,0.5017105,0.35,0.022126654,0.49722162
4,MOVE_TO_PRE_GRASP,0.087985,0.3188,0.021614786,0.5006143,0.35,0.022339258,0.49730462
5,MOVE_TO_PRE_GRASP,0.068261,0.3241529,0.021695763,0.49904644,0.35,0.022598734,0.49740595
6,MOVE_TO_PRE_GRASP,0.053642,0.32843933,0.02181,0.49778333,0.35,0.022904856,0.49752548
7,MOVE_TO_PRE_GRASP,0.042846,0.33190507,0.021963527,0.4969085,0.35,0.023257364,0.4976631
8,MOVE_TO_PRE_GRASP,0.034875,0.33473492,0.022156911,0.49634126,0.35,0.023655953,0.49781877
9,MOVE_TO_PRE_GRASP,0.029040,0.33706313,0.022389637,0.49599582,0.35,0.024100276,0.49799225
10,MOVE_TO_PRE_GRASP,0.024852,0.33899134,0.022661518,0.49580756,0.35,0.024589954,0.49818346
11,MOVE_TO_PRE_GRASP,0.021964,0.34059745,0.022972682,0.4957316,0.35,0.025124565,0.4983922
12,MOVE_TO_PRE_GRASP,0.020108,0.3419418,0.023323422,0.49573737,0.35,0.025703644,0.49861833
13,MOVE_TO_PRE_GRASP,0.019064,0.3430718,0.023714097,0.49580437,0.35,0.026326697,0.4988616
14,MOVE_TO_PRE_GRASP,0.018645,0.3440249,0.024145044,0.4959186,0.35,0.026993183,0.49912184
15,MOVE_TO_PRE_GRASP,0.018686,0.34483114,0.024616543,0.49607053,0.35,0.02770253,0.49939883
16,MOVE_TO_PRE_GRASP,0.019058,0.34551477,0.025128784,0.49625358,0.35,0.028454127,0.4996923
17,MOVE_TO_PRE_GRASP,0.019659,0.34609562,0.025681868,0.4964631,0.35,0.029247323,0.500002
18,MOVE_TO_PRE_GRASP,0.020417,0.34658983,0.026275719,0.4966958,0.35,0.030081436,0.5003277
19,MOVE_TO_PRE_GRASP,0.021276,0.3470109,0.026910443,0.49694932,0.35,0.030955747,0.5006691
20,MOVE_TO_PRE_GRASP,0.022204,0.34736997,0.027585715,0.49722186,0.35,0.0318695,0.5010259
21,MOVE_TO_PRE_GRASP,0.023172,0.3476764,0.02830126,0.49751216,0.35,0.032821912,0.5013978
22,MOVE_TO_PRE_GRASP,0.024165,0.34793797,0.02905674,0.4978192,0.35,0.03381216,0.50178444
23,MOVE_TO_PRE_GRASP,0.025168,0.34816134,0.029851746,0.49814212,0.35,0.03483939,0.5021855
