step,expert_state,mimicry_error_rad,ee_pos_x,ee_pos_y,ee_pos_z,target_pos_x,target_pos_y,target_pos_z
0,MOVE_TO_PRE_GRASP,0.145029,0.292742,-0.00086041284,0.4852441,0.35,-0.00082135695,0.48526007
1,MOVE_TO_PRE_GRASP,0.110677,0.2942772,-0.00086934434,0.48674032,0.35,-0.0007042349,0.48530793
2,MOVE_TO_PRE_GRASP,0.079042,0.29845998,-0.0009118287,0.4886125,0.35,-0.00050918316,0.48538762
3,MOVE_TO_PRE_GRASP,0.049439,0.30467734,-0.0008735746,0.48869625,0.35,-0.00023642917,0.48549908
4,MOVE_TO_PRE_GRASP,0.028409,0.3101759,-0.00076937245,0.48743597,0.35,0.000113709,0.4856422
5,MOVE_TO_PRE_GRASP,0.016585,0.31453678,-0.0006229551,0.48621193,0.35,0.00054082315,0.48581672
6,MOVE_TO_PRE_GRASP,0.012324,0.31810132,-0.00043687856,0.48534125,0.35,0.0010444153,0.48602253
7,MOVE_TO_PRE_GRASP,0.012433,0.321093,-0.00020755576,0.4847651,0.35,0.0016238982,0.48625934
8,MOVE_TO_PRE_GRASP,0.013471,0.32365623,6.923955e-05,0.48439404,0.35,0.0022785962,0.4865269
9,MOVE_TO_PRE_GRASP,0.014220,0.32588944,0.00039698274,0.48416334,0.35,0.003007746,0.48682487
10,MOVE_TO_PRE_GRASP,0.014505,0.32786158,0.00077838165,0.48403227,0.35,0.0038104977,0.48715293
11,MOVE_TO_PRE_GRASP,0.014424,0.32962173,0.0012155103,0.48397627,0.35,0.0046859146,0.48751068
12,MOVE_TO_PRE_GRASP,0.014122,0.33120558,0.001709962,0.48398057,0.35,0.005632977,0.48789772
13,MOVE_TO_PRE_GRASP,0.013702,0.33263958,0.0022629602,0.48403624,0.35,0.00665058,0.48831356
14,MOVE_TO_PRE_GRASP,0.013237,0.33394387,0.002875431,0.4841376,0.35,0.007737537,0.48875776
15,MOVE_TO_PRE_GRASP,0.012774,0.33513418,0.0035480505,0.48428094,0.35,0.008892581,0.4892298
16,MOVE_TO_PRE_GRASP,0.012344,0.33622307,0.0042812773,0.4844637,0.35,0.010114365,0.4897291
