step,expert_state,mimicry_error_rad,ee_pos_x,ee_pos_y,ee_pos_z,target_pos_x,target_pos_y,target_pos_z
0,MOVE_TO_PRE_GRASP,0.100659,0.30938816,-0.0061291573,0.48164666,0.35,-0.0061430945,0.48166105
1,MOVE_TO_PRE_GRASP,0.075132,0.31102052,-0.0060824123,0.48295495,0.35,-0.006184892,0.48170424
2,MOVE_TO_PRE_GRASP,0.049772,0.31524453,-0.0060636112,0.48381308,0.35,-0.0062545086,0.48177615
3,MOVE_TO_PRE_GRASP,0.029067,0.31979528,-0.006078444,0.4831039,0.35,-0.006351876,0.48187673
4,MOVE_TO_PRE_GRASP,0.015895,0.32335556,-0.0061152964,0.4820759,0.35,-0.0064768977,0.48200586
5,MOVE_TO_PRE_GRASP,0.008958,0.32620004,-0.0061656185,0.48129073,0.35,-0.0066294507,0.48216346
6,MOVE_TO_PRE_GRASP,0.007301,0.32854018,-0.0062295934,0.48076427,0.35,-0.0068093836,0.48234934
7,MOVE_TO_PRE_GRASP,0.008139,0.33051068,-0.0063089305,0.48042658,0.35,-0.00701652,0.4825633
8,MOVE_TO_PRE_GRASP,0.009102,0.33220288,-0.0064052087,0.4802185,0.35,-0.0072506545,0.48280516
9,MOVE_TO_PRE_GRASP,0.009661,0.33367994,-0.0065196557,0.4801012,0.35,-0.0075115566,0.48307467
10,MOVE_TO_PRE_GRASP,0.009845,0.3349863,-0.006653221,0.4800512,0.35,-0.007798969,0.48337156
11,MOVE_TO_PRE_GRASP,0.009772,0.33615363,-0.0068066386,0.48005447,0.35,-0.0081126075,0.48369554
12,MOVE_TO_PRE_GRASP,0.009537,0.3372051,-0.0069804853,0.4801027,0.35,-0.008452162,0.4840463
13,MOVE_TO_PRE_GRASP,0.009217,0.33815786,-0.0071752155,0.48019078,0.35,-0.008817299,0.4844235
14,MOVE_TO_PRE_GRASP,0.008853,0.3390251,-0.007391187,0.48031554,0.35,-0.009207658,0.4848267
15,MOVE_TO_PRE_GRASP,0.008485,0.33981708,-0.007628674,0.4804748,0.35,-0.009622851,0.48525563
16,MOVE_TO_PRE_GRASP,0.008130,0.34054205,-0.007887883,0.480667,0.35,-0.010062473,0.48570973
17,MOVE_TO_PRE_GRASP,0.007800,0.34120682,-0.008168955,0.48089096,0.35,-0.010526086,0.48618865
18,MOVE_TO_PRE_GRASP,0.007505,0.34181717,-0.008471974,0.48114565,0.35,-0.011013234,0.48669186
19,MOVE_TO_PRE_GRASP,0.007246,0.34237802,-0.008796968,0.4814301,0.35,-0.011523437,0.48721892
20,MOVE_TO_PRE_GRASP,0.007025,0.3428937,-0.009143915,0.48174354,0.35,-0.01205619,0.48776925
21,MOVE_TO_PRE_GRASP,0.006839,0.34336796,-0.009512749,0.48208514,0.35,-0.012610967,0.48834231
22,MOVE_TO_PRE_GRASP,0.006687,0.34380433,-0.009903353,0.48245412,0.35,-0.013187223,0.4889376
23,MOVE_TO_PRE_GRASP,0.006565,0.3442058,-0.010315569,0.48284975,0.35,-0.013784387,0.48955446
24,MOVE_TO_PRE_GRASP,0.006471,0.3445752,-0.010749201,0.48327133,0.35,-0.014401871,0.4901923
25,MOVE_TO_PRE_GRASP,0.004622,0.34491506,-0.011204013,0.4837181,0.35229477,-0.015039065,0.4908505
26,MOVE_TO_PRE_GRASP,0.008202,0.3455552,-0.011677603,0.48424894,0.35545513,-0.01569534,0.49152845
27,MOVE_TO_PRE_GRASP,0.011581,0.3465801,-0.012170171,0.48478958,0.35870424,-0.016370049,0.4922254
28,MOVE_TO_PRE_GRASP,0.013856,0.3479217,-0.012682291,0.48529854,0.36203894,-0.017062524,0.49294075
29,MOVE_TO_PRE_GRASP,0.015303,0.34952036,-0.013213891,0.48578444,0.3654559,-0.017772086,0.4936737
30,MOVE_TO_PRE_GRASP,0.016190,0.3513346,-0.013764653,0.48626193,0.36895177,-0.01849803,0.4944236
31,MOVE_TO_PRE_GRASP,0.016712,0.35333493,-0.01433418,0.48674154,0.37252307,-0.019239642,0.4951897
32,MOVE_TO_PRE_GRASP,0.017011,0.3554999,-0.014922035,0.4872296,0.3761663,-0.01999619,0.4959712
33,MOVE_TO_PRE_GRASP,0.017170,0.35781342,-0.015527758,0.48772934,0.3798779,-0.020766927,0.49676737
34,MOVE_TO_PRE_GRASP,0.017253,0.360263,-0.01615081,0.4882424,0.38365412,-0.021551093,0.4975774
35,MOVE_TO_PRE_GRASP,0.017301,0.36283854,-0.016790653,0.48876932,0.3874913,-0.022347914,0.4984005
36,MOVE_TO_PRE_GRASP,0.017344,0.36553162,-0.01744671,0.4893102,0.3913856,-0.023156602,0.49923587
37,MOVE_TO_PRE_GRASP,0.017396,0.36833498,-0.01811838,0.48986474,0.39533326,-0.023976361,0.5000827
38,MOVE_TO_PRE_GRASP,0.017471,0.37124205,-0.018805038,0.4904325,0.3993303,-0.02480638,0.5009401
39,MOVE_TO_PRE_GRASP,0.017579,0.3742468,-0.019506041,0.49101293,0.40337282,-0.025645843,0.5018072
40,MOVE_TO_PRE_GRASP,0.017731,0.37734357,-0.020220717,0.49160552,0.40745682,-0.026493918,0.5026833
41,MOVE_TO_PRE_GRASP,0.017920,0.38052696,-0.020948388,0.4922096,0.41157827,-0.02734977,0.5035674
42,MOVE_TO_PRE_GRASP,0.018168,0.38379171,-0.021688344,0.49282464,0.41573307,-0.028212555,0.5044586
43,MOVE_TO_PRE_GRASP,0.018461,0.3871328,-0.022439871,0.49344993,0.4199172,-0.02908142,0.5053562
44,MOVE_TO_PRE_GRASP,0.018823,0.39054513,-0.023202233,0.49408486,0.42412645,-0.029955506,0.5062591
45,MOVE_TO_PRE_GRASP,0.019227,0.39402384,-0.023974665,0.4947288,0.4283567,-0.030833956,0.5071665
46,MOVE_TO_PRE_GRASP,0.019698,0.39756405,-0.024756456,0.49538103,0.4326038,-0.031715896,0.50807756
47,MOVE_TO_PRE_GRASP,0.020233,0.40116096,-0.025546798,0.4960409,0.4368635,-0.032600462,0.5089913
48,MOVE_TO_PRE_GRASP,0.020844,0.40480977,-0.026344905,0.4967078,0.44113165,-0.03348678,0.5099069
49,MOVE_TO_PRE_GRASP,0.021504,0.40850577,-0.027149988,0.49738097,0.44540402,-0.03437397,0.5108233
50,MOVE_TO_PRE_GRASP,0.022237,0.41224423,-0.027961254,0.49805978,0.4496764,-0.03526116,0.5117398
51,MOVE_TO_PRE_GRASP,0.023048,0.41602048,-0.028777895,0.49874353,0.45394453,-0.036147475,0.5126553
52,MOVE_TO_PRE_GRASP,0.023922,0.4198299,-0.029599106,0.49943152,0.45820424,-0.03703204,0.5135691
53,MOVE_TO_PRE_GRASP,0.024883,0.42366788,-0.030424073,0.5001231,0.46245134,-0.03791398,0.5144801
54,MOVE_TO_PRE_GRASP,0.025898,0.42752987,-0.03125198,0.50081754,0.4666816,-0.03879243,0.5153876
55,MOVE_TO_PRE_GRASP,0.026990,0.4314113,-0.032082014,0.5015142,0.47089085,-0.03966652,0.5162905
56,MOVE_TO_PRE_GRASP,0.028156,0.43530774,-0.032913353,0.50221235,0.47507498,-0.040535383,0.517188
57,MOVE_TO_PRE_GRASP,0.029392,0.43921468,-0.033745185,0.5029114,0.4792298,-0.041398168,0.5180793
58,MOVE_TO_PRE_GRASP,0.030715,0.44312772,-0.03457669,0.5036107,0.48335123,-0.04225402,0.51896334
59,MOVE_TO_PRE_GRASP,0.032063,0.44704255,-0.035407066,0.5043094,0.48743525,-0.043102097,0.5198394
60,MOVE_TO_PRE_GRASP,0.033485,0.4509548,-0.036235504,0.5050071,0.49147776,-0.043941557,0.5207066
61,MOVE_TO_PRE_GRASP,0.034989,0.4548602,-0.037061185,0.50570303,0.49547482,-0.04477158,0.521564
62,MOVE_TO_PRE_GRASP,0.036516,0.45875463,-0.03788332,0.50639665,0.49942243,-0.045591336,0.5224108
63,MOVE_TO_PRE_GRASP,0.038123,0.46263385,-0.03870111,0.50708723,0.50331676,-0.046400025,0.52324617
64,MOVE_TO_PRE_GRASP,0.039781,0.46649382,-0.03951378,0.5077743,0.5071539,-0.047196846,0.52406925
65,MOVE_TO_PRE_GRASP,0.041471,0.47033048,-0.04032056,0.5084571,0.5109302,-0.047981013,0.5248793
66,MOVE_TO_PRE_GRASP,0.043221,0.4741399,-0.041120674,0.5091353,0.51464176,-0.04875175,0.5256755
67,MOVE_TO_PRE_GRASP,0.045001,0.4779182,-0.04191337,0.5098082,0.518285,-0.049508296,0.52645695
68,MOVE_TO_PRE_GRASP,0.046788,0.48166153,-0.042697906,0.5104752,0.5218563,-0.050249908,0.52722305
69,MOVE_TO_PRE_GRASP,0.048625,0.4853662,-0.043473553,0.511136,0.5253521,-0.05097585,0.52797294
70,MOVE_TO_PRE_GRASP,0.050442,0.4890285,-0.04423959,0.51179,0.52876914,-0.051685415,0.5287059
71,MOVE_TO_PRE_GRASP,0.052278,0.4926449,-0.044995315,0.5124366,0.5321038,-0.05237789,0.5294212
72,MOVE_TO_PRE_GRASP,0.054136,0.49621192,-0.045740023,0.5130756,0.53535295,-0.0530526,0.5301182
73,MOVE_TO_PRE_GRASP,0.055975,0.49972612,-0.046473037,0.5137064,0.5385133,-0.053708874,0.5307961
74,MOVE_TO_PRE_GRASP,0.057794,0.5031842,-0.047193695,0.5143286,0.54158175,-0.054346066,0.5314543
75,MOVE_TO_PRE_GRASP,0.059544,0.506583,-0.047901355,0.5149419,0.5445553,-0.05496355,0.5320922
76,MOVE_TO_PRE_GRASP,0.061281,0.5099193,-0.048595387,0.5155459,0.54743105,-0.055560715,0.53270906
77,MOVE_TO_PRE_GRASP,0.063038,0.51319015,-0.04927518,0.5161403,0.55020607,-0.05613697,0.53330433
78,MOVE_TO_PRE_GRASP,0.064666,0.51639265,-0.049940124,0.51672477,0.55287766,-0.05669175,0.53387743
79,MOVE_TO_PRE_GRASP,0.066240,0.5195239,-0.050589643,0.517299,0.55544317,-0.0572245,0.53442776
80,MOVE_TO_PRE_GRASP,0.067721,0.5225813,-0.051223177,0.51786286,0.55790013,-0.057734706,0.5349548
81,MOVE_TO_PRE_GRASP,0.069096,0.5255621,-0.051840175,0.518416,0.560246,-0.058221854,0.535458
82,MOVE_TO_PRE_GRASP,0.070375,0.52846396,-0.052440114,0.5189582,0.5624786,-0.058685467,0.5359369
83,MOVE_TO_PRE_GRASP,0.071523,0.53128433,-0.05302248,0.5194894,0.56459564,-0.05912509,0.536391
84,MOVE_TO_PRE_GRASP,0.072529,0.53402096,-0.053586792,0.52000934,0.566595,-0.059540283,0.53681993
85,MOVE_TO_PRE_GRASP,0.073393,0.53667176,-0.054132566,0.520518,0.5684748,-0.059930637,0.53722316
86,MOVE_TO_PRE_GRASP,0.074098,0.5392345,-0.054659355,0.52101517,0.5702332,-0.060295776,0.53760034
87,MOVE_TO_PRE_GRASP,0.074619,0.5417073,-0.05516673,0.52150077,0.57186836,-0.060635332,0.5379511
88,MOVE_TO_PRE_GRASP,0.074955,0.54408824,-0.05565427,0.52197474,0.57337874,-0.060948968,0.5382751
89,MOVE_TO_PRE_GRASP,0.075090,0.5463755,-0.056121577,0.5224371,0.5747628,-0.06123638,0.538572
90,MOVE_TO_PRE_GRASP,0.075016,0.54856753,-0.056568276,0.5228877,0.5760192,-0.061497282,0.5388415
91,MOVE_TO_PRE_GRASP,0.074706,0.5506627,-0.056994013,0.52332664,0.5771467,-0.06173142,0.53908336
92,MOVE_TO_PRE_GRASP,0.074197,0.5526595,-0.05739844,0.52375376,0.5781442,-0.061938554,0.53929734
93,MOVE_TO_PRE_GRASP,0.073461,0.55455655,-0.057781234,0.5241691,0.57901067,-0.06211849,0.5394832
94,MOVE_TO_PRE_GRASP,0.072495,0.5563525,-0.058142096,0.5245727,0.5797453,-0.06227104,0.5396408
95,MOVE_TO_PRE_GRASP,0.071243,0.55804616,-0.058480732,0.5249645,0.58034736,-0.06239606,0.53976995
96,MOVE_TO_PRE_GRASP,0.069775,0.5596364,-0.05879687,0.52534455,0.58081627,-0.06249343,0.5398705
97,MOVE_TO_PRE_GRASP,0.068069,0.5611222,-0.05909026,0.5257128,0.5811515,-0.06256305,0.53994244
98,PREPARE_GRIPPER,0.066131,0.56250244,-0.059360664,0.5260692,0.5813528,-0.062604845,0.5399856
99,PREPARE_GRIPPER,0.063079,0.56377625,-0.05960786,0.5264138,0.56377625,-0.05960786,0.5264138
100,PREPARE_GRIPPER,0.045845,0.56362695,-0.059593577,0.52526826,0.56377625,-0.05960786,0.5264138
101,PREPARE_GRIPPER,0.033220,0.56308466,-0.05945951,0.52431554,0.56377625,-0.05960786,0.5264138
102,PREPARE_GRIPPER,0.024295,0.5627501,-0.059360012,0.5237236,0.56377625,-0.05960786,0.5264138
103,PREPARE_GRIPPER,0.017990,0.5625621,-0.05930143,0.5233166,0.56377625,-0.05960786,0.5264138
104,DESCEND_TO_GRASP,0.013541,0.5624739,-0.05927407,0.52301157,0.56377625,-0.05960786,0.5264138
105,DESCEND_TO_GRASP,0.059805,0.56245226,-0.05926725,0.522769,0.5676448,-0.060184754,0.493236
106,DESCEND_TO_GRASP,0.044749,0.56321245,-0.05934724,0.52045804,0.5680617,-0.06025843,0.49086455
107,DESCEND_TO_GRASP,0.035131,0.56468433,-0.059567787,0.5161487,0.5688413,-0.060396172,0.48643088
108,DESCEND_TO_GRASP,0.029961,0.56602144,-0.059761956,0.51138914,0.5696933,-0.060546726,0.4815847
109,DESCEND_TO_GRASP,0.027142,0.56725186,-0.05993461,0.50672376,0.570526,-0.060693864,0.4768486
110,DESCEND_TO_GRASP,0.025740,0.5683966,-0.06009663,0.50225216,0.5713231,-0.060834706,0.4723152
111,DESCEND_TO_GRASP,0.025154,0.5694702,-0.060253326,0.4979574,0.5720879,-0.060969837,0.46796548
112,DESCEND_TO_GRASP,0.025010,0.5704834,-0.060406335,0.49380046,0.57282734,-0.061100498,0.46375972
113,DESCEND_TO_GRASP,0.025086,0.571445,-0.060555905,0.48974508,0.5735479,-0.061227825,0.45966128
114,DESCEND_TO_GRASP,0.025270,0.5723624,-0.06070195,0.48576248,0.57425475,-0.061352726,0.455641
115,DESCEND_TO_GRASP,0.025545,0.57324183,-0.060844496,0.48183095,0.57495177,-0.06147588,0.4516768
116,DESCEND_TO_GRASP,0.026012,0.5740884,-0.060983706,0.4779344,0.5756418,-0.06159781,0.44775218
117,DESCEND_TO_GRASP,0.027077,0.57490635,-0.061119825,0.4740609,0.576327,-0.061718885,0.44385487
118,DESCEND_TO_GRASP,0.030514,0.57569915,-0.061253134,0.4702017,0.577009,-0.061839398,0.4399758
