step,expert_state,mimicry_error_rad,ee_pos_x,ee_pos_y,ee_pos_z,target_pos_x,target_pos_y,target_pos_z
0,MOVE_TO_PRE_GRASP,0.069248,0.32176867,0.0024966912,0.50943357,0.35,0.002526377,0.50945085
1,MOVE_TO_PRE_GRASP,0.050734,0.32330078,0.0025204949,0.5104277,0.35,0.0026153675,0.50950277
2,MOVE_TO_PRE_GRASP,0.031637,0.32686618,0.0025342084,0.5105325,0.35,0.002763461,0.50958914
3,MOVE_TO_PRE_GRASP,0.018057,0.32990155,0.002573657,0.5097173,0.35,0.0029703218,0.5097098
4,MOVE_TO_PRE_GRASP,0.009493,0.33226988,0.0026416853,0.50895876,0.35,0.0032354817,0.5098644
5,MOVE_TO_PRE_GRASP,0.004881,0.33416316,0.0027390025,0.5084274,0.35,0.0035583398,0.5100526
6,MOVE_TO_PRE_GRASP,0.003929,0.33571473,0.0028684712,0.5080852,0.35,0.0039381646,0.5102741
7,MOVE_TO_PRE_GRASP,0.004766,0.33701575,0.0030331109,0.5078762,0.35,0.0043740957,0.5105283
8,MOVE_TO_PRE_GRASP,0.005607,0.33812854,0.0032353797,0.50775987,0.35,0.004865146,0.51081467
9,MOVE_TO_PRE_GRASP,0.006153,0.33909616,0.0034771105,0.5077108,0.35,0.005410203,0.51113254
10,MOVE_TO_PRE_GRASP,0.006462,0.3399487,0.003759667,0.5077141,0.35,0.006008031,0.5114811
11,MOVE_TO_PRE_GRASP,0.006622,0.34070754,0.004084027,0.507761,0.35,0.006657277,0.5118597
12,MOVE_TO_PRE_GRASP,0.006700,0.3413882,0.0044508544,0.5078465,0.35,0.0073564695,0.5122675
13,MOVE_TO_PRE_GRASP,0.006742,0.34200224,0.0048605474,0.5079673,0.35,0.008104025,0.51270336
14,MOVE_TO_PRE_GRASP,0.006776,0.34255838,0.005313273,0.5081215,0.35,0.00889825,0.5131665
15,MOVE_TO_PRE_GRASP,0.006812,0.34306362,0.005808987,0.5083076,0.35,0.009737345,0.5136558
16,MOVE_TO_PRE_GRASP,0.006862,0.3435234,0.0063474523,0.5085245,0.35,0.010619409,0.51417017
17,MOVE_TO_PRE_GRASP,0.006925,0.34394243,0.0069282493,0.5087711,0.35,0.011542445,0.5147084
18,MOVE_TO_PRE_GRASP,0.007000,0.34432453,0.0075506307,0.5090466,0.35,0.012504362,0.51526934
19,MOVE_TO_PRE_GRASP,0.007084,0.34467307,0.008214268,0.50935006,0.35,0.013502979,0.5158517
20,MOVE_TO_PRE_GRASP,0.005739,0.344991,0.008917954,0.50968045,0.3521398,0.014536035,0.51645404
21,MOVE_TO_PRE_GRASP,0.008079,0.34558442,0.009664165,0.5100988,0.35482684,0.01560119,0.5170752
22,MOVE_TO_PRE_GRASP,0.010538,0.34649992,0.010449218,0.5105221,0.35758874,0.01669603,0.5177136
23,MOVE_TO_PRE_GRASP,0.012245,0.3476792,0.011270379,0.51091874,0.36041927,0.017818078,0.5183679
24,MOVE_TO_PRE_GRASP,0.013323,0.349072,0.012126062,0.51129746,0.36331204,0.018964788,0.5190366
