Episode,Step,Phase,IsGrasped,EE_X,EE_Y,EE_Z,Pred_X,Pred_Y,Pred_Z,Pred_Qx,Pred_Qy,Pred_Qz,Pred_Qw,GripLogit,GripCmd
0,0,0,0,0.30659961700439453,-0.0009935148991644382,0.4897628724575043,0.6312872767448425,0.07939957082271576,0.4355902075767517,0.9962133765220642,-0.08687524497509003,-0.0032640164718031883,0.0008713831775821745,-7.9048,1.0
0,1,0,0,0.31117668747901917,0.004952349234372377,0.4940215051174164,0.5630659461021423,0.2187110185623169,0.463456928730011,0.9915544986724854,-0.12967173755168915,-0.0017974214861169457,0.0012868136400356889,-5.9931,1.0
0,2,0,0,0.3187426030635834,0.015980517491698265,0.5010030269622803,0.5701413750648499,0.22994038462638855,0.5026851296424866,0.9993704557418823,-0.03542277589440346,-0.0019002581248059869,0.0006310156313702464,-4.5878,1.0
0,3,0,0,0.3290630877017975,0.03153734281659126,0.5098065733909607,0.5683646202087402,0.22783353924751282,0.5120285749435425,0.9999868273735046,-0.004613492637872696,-0.0022016523871570826,0.000518188753630966,-4.2316,1.0
0,4,0,0,0.34157809615135193,0.050552159547805786,0.5174518823623657,0.5661051273345947,0.22749200463294983,0.5107022523880005,0.9995652437210083,-0.029437407851219177,-0.0016162340762093663,0.0003191088617313653,-2.7607,1.0
0,5,0,0,0.3554668426513672,0.07299386709928513,0.5237289071083069,0.5650164484977722,0.22568076848983765,0.4925483763217926,0.997676432132721,-0.0681062638759613,-0.0017013848992064595,0.0006659394130110741,-2.8538,1.0
0,6,0,0,0.3700049817562103,0.0976404994726181,0.5293358564376831,0.5627062320709229,0.22648027539253235,0.4934852719306946,0.9977365732192993,-0.067221999168396,-0.0015877675032243133,0.0006425686297006905,-2.3461,1.0
0,7,0,0,0.38552942872047424,0.1206941306591034,0.5348626375198364,0.5604353547096252,0.22959786653518677,0.4859517216682434,0.996518075466156,-0.0833582952618599,-0.0015906761400401592,0.0007620603428222239,-2.7044,1.0
0,8,0,0,0.40216946601867676,0.14013853669166565,0.5381253361701965,0.5500995516777039,0.22520920634269714,0.4606398642063141,0.9896202087402344,-0.14369697868824005,-0.0014606125187128782,0.0010947119444608688,-4.1070,1.0
0,9,0,0,0.41831493377685547,0.15505436062812805,0.5367823839187622,0.5306890606880188,0.2025516927242279,0.4404837191104889,0.978105366230011,-0.20810499787330627,-0.0007817351724952459,0.0012938366271555424,-4.4938,1.0
0,10,0,0,0.4337751865386963,0.16542761027812958,0.5306218862533569,0.5187430381774902,0.17484858632087708,0.43303805589675903,0.9709612727165222,-0.23923291265964508,-0.0005133817903697491,0.0012486842460930347,-4.8687,1.0
0,11,0,0,0.4469950497150421,0.17115195095539093,0.5196946263313293,0.5101234316825867,0.1515054702758789,0.42965221405029297,0.966658353805542,-0.2560666799545288,-0.0004006786330137402,0.0011508360039442778,-5.0695,1.0
0,12,0,0,0.4567190706729889,0.17171862721443176,0.504310131072998,0.4994065761566162,0.12149924784898758,0.4260158836841583,0.9614599943161011,-0.2749428451061249,-0.00037965879891999066,0.0010023757349699736,-5.1830,1.0
0,13,0,0,0.4627472758293152,0.16733671724796295,0.48697468638420105,0.49070900678634644,0.08947566896677017,0.4235929548740387,0.9569689631462097,-0.29018861055374146,-0.0004868075193371624,0.0008499317918904126,-5.3964,1.0
0,14,0,0,0.4658517837524414,0.158907949924469,0.4702337682247162,0.4851350784301758,0.058570366352796555,0.4228253662586212,0.9541802406311035,-0.2992309629917145,-0.0005773187149316072,0.0007689669146202505,-5.6678,1.0
0,15,0,0,0.4657979905605316,0.1459656059741974,0.45331597328186035,0.4770324230194092,-0.010960224084556103,0.4229676127433777,0.9501314759254456,-0.31184837222099304,-0.0007379517192021012,0.0004762121243402362,-6.0864,1.0
0,16,0,0,0.4634576737880707,0.12891556322574615,0.4381988048553467,0.47665125131607056,-0.05873987451195717,0.4301699697971344,0.9592322707176208,-0.28261598944664,-0.0011749957920983434,0.0005606453050859272,-6.3622,1.0
0,17,0,0,0.46013277769088745,0.10819423198699951,0.42520594596862793,0.4727897047996521,-0.12960022687911987,0.4332675635814667,0.9717546701431274,-0.2359818071126938,-0.0023377705365419388,9.942524229700211e-06,-6.7743,1.0
0,18,0,0,0.45710381865501404,0.08426462858915329,0.4153357446193695,0.47563979029655457,-0.1588543802499771,0.4353676736354828,0.9815645217895508,-0.19109855592250824,-0.0034882042091339827,-0.0003694100887514651,-6.7416,1.0
0,19,0,0,0.45584022998809814,0.05893288180232048,0.4084371030330658,0.49807778000831604,-0.11776573956012726,0.4429907500743866,0.9925485253334045,-0.12176849693059921,-0.0043956199660897255,-0.0007579757948406041,-5.4021,1.0
0,20,0,0,0.4572046101093292,0.03218138590455055,0.40410780906677246,0.5061328411102295,-0.13252434134483337,0.444509357213974,0.999221682548523,-0.03924592584371567,-0.0036825379356741905,-0.001492408919148147,-5.9891,1.0
0,21,0,0,0.4597739279270172,0.002852117409929633,0.4027818739414215,0.5013160109519958,-0.17276227474212646,0.44198182225227356,0.9998264312744141,0.018281299620866776,-0.0031137389596551657,-0.0017734492430463433,-7.1457,1.0
0,22,0,0,0.463304340839386,-0.02779494971036911,0.40428560972213745,0.5019645690917969,-0.17743735015392303,0.442078560590744,0.9996123909950256,0.027619019150733948,-0.003040716052055359,-0.0017718082526698709,-7.4040,1.0
0,23,0,0,0.4681117832660675,-0.05620594322681427,0.40828028321266174,0.5029372572898865,-0.17843429744243622,0.44216811656951904,0.9994688630104065,0.03240529075264931,-0.00296224607154727,-0.0017757898895069957,-7.5715,1.0
0,24,0,0,0.4728679955005646,-0.08070984482765198,0.41377606987953186,0.5071069598197937,-0.15663272142410278,0.44621872901916504,0.9970647692680359,0.07649214565753937,-0.00287468614988029,-0.0016092000296339393,-7.8829,1.0
0,25,0,0,0.4764940142631531,-0.10107166320085526,0.41902509331703186,0.509157657623291,-0.14296525716781616,0.44690433144569397,0.9947829842567444,0.10195549577474594,-0.0031141589861363173,-0.0014350698329508305,-8.0213,1.0
0,26,0,0,0.4787920415401459,-0.11741971224546432,0.4232105314731598,0.5094076991081238,-0.13068895041942596,0.44636470079421997,0.9919511079788208,0.12656782567501068,-0.0034665188286453485,-0.0012802747078239918,-7.8966,1.0
0,27,0,0,0.47960731387138367,-0.12976579368114471,0.42617014050483704,0.5075449347496033,-0.11238560080528259,0.4455370008945465,0.9886314868927002,0.1503063589334488,-0.003791613969951868,-0.0011309024412184954,-7.4308,1.0
0,28,0,0,0.4785919785499573,-0.13796254992485046,0.42776355147361755,0.5010016560554504,-0.08435210585594177,0.44520241022109985,0.9859408140182495,0.16704435646533966,-0.004009478259831667,-0.0009254433098249137,-6.3591,1.0
0,29,0,0,0.47522008419036865,-0.1417515128850937,0.42786574363708496,0.48915645480155945,-0.04292166605591774,0.4471338987350464,0.9857706427574158,0.16804802417755127,-0.003971809986978769,-0.000680391036439687,-4.2079,1.0
0,30,0,0,0.4701584279537201,-0.14125977456569672,0.42736926674842834,0.4861689805984497,-0.007127600722014904,0.45040103793144226,0.9863256216049194,0.16476136445999146,-0.003879211377352476,-0.0005736614693887532,-2.6051,1.0
0,31,0,0,0.4660354256629944,-0.13725052773952484,0.4285428822040558,0.490009605884552,0.015121561475098133,0.45194345712661743,0.9856183528900146,0.1689404398202896,-0.0038945332635194063,-0.0005510275950655341,-2.2221,1.0
0,32,0,0,0.4637816846370697,-0.12996302545070648,0.43153655529022217,0.4948351979255676,0.03353102132678032,0.45308464765548706,0.9849044680595398,0.1730533093214035,-0.003949480131268501,-0.0005099094123579562,-2.1329,1.0
0,33,0,0,0.4637758433818817,-0.11970014870166779,0.43500590324401855,0.49968791007995605,0.048848073929548264,0.45395565032958984,0.9842578768730164,0.1766919493675232,-0.004033724777400494,-0.00048520168638788164,-2.1421,1.0
0,34,0,0,0.4656985104084015,-0.10656125098466873,0.43826085329055786,0.5071983337402344,0.07314750552177429,0.4562537670135498,0.9842133522033691,0.17693835496902466,-0.004099206067621708,-0.0004991457099094987,-1.9710,1.0
0,35,0,0,0.46960097551345825,-0.09041880816221237,0.4414638578891754,0.5192103385925293,0.10715470463037491,0.4602559506893158,0.985276460647583,0.170915886759758,-0.004190452862530947,-0.0005594240501523018,-1.6616,1.0
0,36,0,0,0.4755517840385437,-0.07129181921482086,0.4448557496070862,0.532684326171875,0.1402125507593155,0.4657016098499298,0.9877320528030396,0.15609940886497498,-0.004236596170812845,-0.000637769466266036,-1.3369,1.0
0,37,0,0,0.48353704810142517,-0.04934858903288841,0.44868332147598267,0.5478708148002625,0.17111966013908386,0.47325003147125244,0.9915135502815247,0.12993767857551575,-0.004103129729628563,-0.0005937541136518121,-1.2286,1.0
0,38,0,0,0.49285033345222473,-0.024771641939878464,0.4533540904521942,0.5604762434959412,0.2020319551229477,0.4940614402294159,0.9976929426193237,0.06780976802110672,-0.0032584499567747116,0.0001846381783252582,-1.8940,1.0
0,39,0,0,0.5023372173309326,0.002274554455652833,0.4596194624900818,0.5667708516120911,0.2233428657054901,0.5144044160842896,0.9998975992202759,0.014085551723837852,-0.0024449173361063004,0.0006313940975815058,-3.2525,1.0
0,40,0,0,0.5109105706214905,0.03173050656914711,0.4661315381526947,0.5670377612113953,0.22645799815654755,0.5149495601654053,0.9999701976776123,0.007319152820855379,-0.00237723789177835,0.0006006629555486143,-3.4296,1.0
0,41,0,0,0.5175908207893372,0.06350208073854446,0.47209084033966064,0.5654295086860657,0.22307783365249634,0.5166678428649902,0.9999892711639404,0.004049826413393021,-0.0022016074508428574,0.0005039630341343582,-2.2397,1.0
0,42,0,0,0.5225637555122375,0.09440992772579193,0.47764137387275696,0.5646758675575256,0.22192171216011047,0.5169216394424438,0.99998939037323,0.0040621221996843815,-0.002150440588593483,0.00048272378626279533,-1.8845,1.0
0,43,0,0,0.5266622304916382,0.12181699275970459,0.4824887216091156,0.5664161443710327,0.2276737242937088,0.5156906247138977,0.9999966621398926,-0.0013351732632145286,-0.0021507611963897943,0.0005027450388297439,-3.0211,1.0
0,44,0,0,0.5298556685447693,0.14561153948307037,0.48612773418426514,0.5668283700942993,0.2304508090019226,0.5142248868942261,0.9999216794967651,-0.012355753220617771,-0.0019697679672390223,0.00047111103776842356,-3.6575,1.0
0,45,0,0,0.5325046181678772,0.16578347980976105,0.4874962270259857,0.5676575303077698,0.22787941992282867,0.49933597445487976,0.9985654950141907,-0.05351398140192032,-0.0016640301328152418,0.0006860405555926263,-4.3281,1.0
0,46,0,0,0.534092903137207,0.18205510079860687,0.4858195185661316,0.5605365633964539,0.22009631991386414,0.4790879189968109,0.9944457411766052,-0.10523471981287003,-0.0015614648582413793,0.0009932128014042974,-4.6300,1.0
0,47,0,0,0.5340903401374817,0.19424191117286682,0.4807004928588867,0.5349006652832031,0.19726897776126862,0.4488963186740875,0.9822454452514648,-0.18759308755397797,-0.0011991722276434302,0.0011134446831420064,-4.3751,1.0
